layer,distance,elevation
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4815.20030449457,2564.59106445312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4837.57944417754,2561.279296875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4871.24052159617,2560.41186523438
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4877.20661507891,2562.6103515625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4903.48880111136,2564.16674804688
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4911.49465979633,2559.68286132812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4945.14247620546,2559.25170898438
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4971.75631246426,2558.13940429688
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4988.75914687595,2558.82080078125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5014.95685332712,2557.91650390625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5032.93238482746,2559.19580078125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5058.47362787694,2559.19580078125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5081.18448385266,2558.57495117188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5099.3027104745,2558.41064453125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5128.1286939571,2559.36010742188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5133.27252258143,2558.962890625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5164.3131604067,2558.962890625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5194.26427794395,2558.83471679688
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5221.75234083332,2557.49072265625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5254.77763320016,2558.92797851562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5261.68972784912,2557.49072265625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5291.3718587302,2558.02514648438
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5316.05515100114,2559.24462890625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5334.35761112245,2558.06201171875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5369.81831357176,2557.98657226562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5397.76881717519,2557.98657226562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5410.355579399,2559.07885742188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5431.53178918938,2557.63916015625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5459.86813859723,2558.44287109375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5491.94454842594,2558.28540039062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5514.37335579109,2559.12963867188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5535.58714635694,2558.87255859375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5558.80291676325,2558.87255859375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5578.90373904866,2561.46020507812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5601.52099569281,2559.7373046875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5621.93222615347,2560.37939453125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5644.87272284232,2559.54907226562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5666.2319577978,2559.54907226562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5690.12981734573,2559.32836914062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,5722.12636602597,2558.98510742188
